method,selected_lower_quantile,selected_upper_quantile,selected_interval_pair,cal_wPICP_80,cal_PICP_80,cal_wMPIW_80,cal_MPIW_80,cal_wNMPIW_80,cal_NMPIW_80,cal_Winkler_80,RMSE,MAE,R2,Skill,wPICP_80,PICP_80,wMPIW_80,MPIW_80,wNMPIW_80,NMPIW_80,Winkler_80,selection_target,calibration_target_hit,Series,Series ID,fold_id,train_len,calibration_len,validation_len,train_ts_start,train_ts_end,calibration_ts_start,calibration_ts_end,validation_ts_start,validation_ts_end,is_selected,calibration_adjustment
naive_lag1,0.1,0.9,q10-q90,0.8485191972476174,0.85,0.0004004564231193591,0.00040045642311935925,0.5133020340345054,0.5133020340345056,0.0007821067343795488,0.00028356819741317066,0.00020350996532714,-0.02537038640218925,0.9011941322307315,0.7015095366198447,0.7,0.00040045642311935925,0.00040045642311935925,0.46457850445615906,0.46457850445615906,0.0011656128312116589,0.84,True,Highest Total Weight,SJZP0OVU__OYJGNSQK__NQ58FVQM__25,2,90,20,20,2884,2975,2976,2995,2996,3016,True,
lgb_pair,0.25,0.98,q25-q98,1.0,1.0,676.8021595587809,670.3467602008208,1.4475291339489464,1.433722471972551,676.8021595587809,235.66523376140552,223.26204113193384,-16.996994315545003,0.0,1.0,1.0,824.4047798631702,824.2441122018392,3.968470076069144,3.9676966637579127,824.4047798631702,0.84,True,Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,1,70,20,20,2757,2827,2828,2848,2849,2869,False,
lgb_conformal,0.25,0.98,q25-q98,1.0,1.0,676.8021595587809,670.3467602008208,1.4475291339489464,1.433722471972551,676.8021595587809,235.66523376140552,223.26204113193384,-16.996994315545003,0.0,1.0,1.0,824.4047798631702,824.2441122018392,3.968470076069144,3.9676966637579127,824.4047798631702,0.84,True,Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,1,70,20,20,2757,2827,2828,2848,2849,2869,False,0.0
naive_lag1,0.1,0.95,q10-q95,0.8534982016882102,0.85,146.62230208041527,146.6223020804153,0.31359245970259214,0.3135924597025922,182.1181138029128,56.573394377787196,45.432211733999,-0.03713052467297073,0.6266111540584453,0.6541234948843381,0.65,146.62230208041524,146.6223020804153,0.7058016068114903,0.7058016068114905,283.28730511260244,0.84,True,Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,1,70,20,20,2757,2827,2828,2848,2849,2869,True,
lgb_pair,0.1,0.98,q10-q98,0.6950522932937444,0.7,304.86953356128635,304.9844115798872,1.467562598610756,1.4681155914976864,381.78963040320065,131.5073725560431,102.3670254599375,-0.77959443601337,0.8864285910507038,0.46312734656097165,0.45,390.9815576554879,388.45196574940564,1.1241602676982585,1.116887119748875,1054.8580444149047,0.84,False,Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,2,90,20,20,2757,2848,2849,2869,2870,2889,False,
lgb_conformal,0.1,0.98,q10-q98,0.8485440363184779,0.85,319.85730083534236,319.97217885394326,1.5397098100134503,1.5402628029003809,377.35864228911464,131.5073725560431,102.3670254599375,-0.77959443601337,0.8864285910507038,0.46312734656097165,0.45,405.9693249295439,403.4397330234616,1.167253483071471,1.1599803351220872,1029.6131997612154,0.84,True,Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,2,90,20,20,2757,2848,2849,2869,2870,2889,False,7.49388363702802
naive_lag1,0.02,0.9,q02-q90,0.9012884619104483,0.9,150.38418832286075,150.38418832286075,0.7239103482299947,0.7239103482299947,188.4145279603941,68.25183238794627,55.09778020248715,0.5206536016290867,0.9703144335589019,0.8002174575874111,0.8,150.38418832286078,150.38418832286075,0.43238850040997473,0.4323885004099747,252.52015143868388,0.84,True,Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,2,90,20,20,2757,2848,2849,2869,2870,2889,True,
lgb_pair,0.02,0.75,q02-q75,0.8049643637719681,0.8,292.3788703393607,294.06166680727273,0.8406552757141196,0.8454936955597855,471.5211019396584,113.68023199276819,90.95648523230545,0.258400159433156,0.8637263919153138,0.9502095553862719,0.95,359.23149713895,359.05922103286036,0.8816640096810998,0.8812411914046487,362.6560215438235,0.84,False,Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,3,110,20,20,2757,2869,2870,2889,2890,2909,False,
lgb_conformal,0.02,0.75,q02-q75,0.8534831899302151,0.85,325.26544551854903,326.9482419864612,0.9352116056310694,0.9400500254767358,472.3374065516768,113.68023199276819,90.95648523230545,0.258400159433156,0.8637263919153138,1.0,1.0,392.1180723181384,391.9457962120488,0.9623777276264587,0.9619549093500076,392.1180723181384,0.84,True,Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,3,110,20,20,2757,2869,2870,2889,2890,2909,False,16.443287589594206
naive_lag1,0.1,0.9,q10-q90,0.8498566728799155,0.85,177.64984382766636,177.64984382766633,0.5107834169759851,0.5107834169759851,233.80887602772086,58.065925297876205,48.37422220487234,0.806517171595871,0.9664434119826659,0.8495874570435673,0.85,177.64984382766636,177.64984382766633,0.4360070730872976,0.4360070730872975,201.5539772577599,0.84,True,Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,3,110,20,20,2757,2869,2870,2889,2890,2909,True,
lgb_pair,0.02,0.98,q02-q98,0.8498796892896272,0.85,0.0005551778315855164,0.0005541860483052336,1.4446305188827853,1.4420497955301934,0.0006337611151258807,0.00014925778396355298,0.00011449978839482087,-0.2513808392376713,0.0,0.7533543247097578,0.75,0.0005135701365087295,0.0005128112236474174,0.8527634514250118,0.8515033058189162,0.0007061974389885841,0.84,True,Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,1,70,20,20,2884,2954,2955,2975,2976,2995,False,
lgb_conformal,0.02,0.98,q02-q98,0.8498796892896272,0.85,0.0005551778315855164,0.0005541860483052336,1.4446305188827853,1.4420497955301934,0.0006337611151258807,0.00014925778396355298,0.00011449978839482087,-0.2513808392376713,0.0,0.7533543247097578,0.75,0.0005135701365087295,0.0005128112236474174,0.8527634514250118,0.8515033058189162,0.0007061974389885841,0.84,True,Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,1,70,20,20,2884,2954,2955,2975,2976,2995,False,0.0
naive_lag1,0.1,0.9,q10-q90,0.853446752685355,0.85,0.00050934002884822,0.0005093400288482198,1.3253557838601076,1.325355783860107,0.0005899837139897631,0.00022183579327447294,0.0001735225029302201,-1.764259203619155,0.0,0.8002883261674347,0.8,0.0005093400288482199,0.0005093400288482198,0.8457395204133723,0.8457395204133721,0.0007504119230824385,0.84,True,Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,1,70,20,20,2884,2954,2955,2975,2976,2995,True,
lgb_pair,0.02,0.98,q02-q98,0.8534510218425599,0.85,0.0003483822940830384,0.00034769597552468894,0.5784753948841912,0.5773357893250093,0.0005011031003065359,0.00010569810851446104,9.112293991018596e-05,-0.12687788444895265,0.0,0.9488152999597487,0.95,0.00036066208125870553,0.0003604703189313917,0.8629399475093796,0.8624811264098925,0.0003835385026986537,0.84,True,Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,2,90,20,20,2884,2975,2976,2995,2996,3016,False,
lgb_conformal,0.02,0.98,q02-q98,0.8534510218425599,0.85,0.0003483822940830384,0.00034769597552468894,0.5784753948841912,0.5773357893250093,0.0005011031003065359,0.00010569810851446104,9.112293991018596e-05,-0.12687788444895265,0.0,0.9488152999597487,0.95,0.00036066208125870553,0.0003604703189313917,0.8629399475093796,0.8624811264098925,0.0003835385026986537,0.84,True,Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,2,90,20,20,2884,2975,2976,2995,2996,3016,True,0.0
naive_lag1,0.1,0.95,q10-q95,0.8962025722135051,0.9,0.0006562792896821119,0.000656279289682112,1.0897265093578121,1.0897265093578121,0.0007678480015277035,0.00010850554628692793,8.553410926372129e-05,-0.18753467675512958,0.0,1.0,1.0,0.0006562792896821118,0.000656279289682112,1.5702499520140631,1.5702499520140638,0.0006562792896821118,0.84,True,Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,2,90,20,20,2884,2975,2976,2995,2996,3016,False,
lgb_pair,0.1,0.95,q10-q95,0.8500101611351449,0.85,0.0002597989197320079,0.00025938956227388447,0.6216091954388704,0.6206297442523393,0.00036094074667415466,0.00014308480670284328,0.00011799625701282312,-0.027665267153653472,0.3898494406336348,0.5498770724932537,0.55,0.0002512970941186891,0.0002510117816876346,0.4766073814259589,0.476066260920248,0.000653768335419507,0.84,True,Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,3,110,20,20,2884,2995,2996,3016,3017,3036,False,
lgb_conformal,0.1,0.95,q10-q95,0.8500101611351449,0.85,0.0002597989197320079,0.00025938956227388447,0.6216091954388704,0.6206297442523393,0.00036094074667415466,0.00014308480670284328,0.00011799625701282312,-0.027665267153653472,0.3898494406336348,0.5498770724932537,0.55,0.0002512970941186891,0.0002510117816876346,0.4766073814259589,0.476066260920248,0.000653768335419507,0.84,True,Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,3,110,20,20,2884,2995,2996,3016,3017,3036,True,0.0
naive_lag1,0.1,0.9,q10-q90,0.8506829784213512,0.85,0.00026019310409213994,0.00026019310409214,0.6225523426359758,0.6225523426359759,0.0003384616871824923,0.00023723795506499633,0.00020141994839031476,-1.8250945023842102,0.0,0.3486940530883628,0.35,0.00026019310409213994,0.00026019310409214,0.4934794588109169,0.49347945881091704,0.0011982212841858074,0.84,True,Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,3,110,20,20,2884,2995,2996,3016,3017,3036,False,
